# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
ip-10-8-14-181;2;2012-03-08 22:13:26 UTC;xvdb;1722.02;110223.81;0.00;64.01;2.14;1.24;0.35;59.52
ip-10-8-14-181;2;2012-03-08 22:13:26 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:26 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:26 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:27 UTC;xvdap1;1.63;0.00;34.78;21.33;0.05;29.67;29.67;4.84
ip-10-8-14-181;2;2012-03-08 22:13:27 UTC;xvdb;1492.39;95513.04;0.00;64.00;1.97;1.32;0.36;54.35
ip-10-8-14-181;2;2012-03-08 22:13:27 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:27 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:27 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:28 UTC;xvdap1;1.55;0.00;32.99;21.33;0.05;29.67;29.67;4.59
ip-10-8-14-181;2;2012-03-08 22:13:28 UTC;xvdb;1612.89;103212.37;0.00;63.99;1.85;1.15;0.32;51.60
ip-10-8-14-181;2;2012-03-08 22:13:28 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:28 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:28 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:29 UTC;xvdap1;1.36;0.00;25.45;18.67;0.04;27.00;27.00;3.68
