# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
ip-10-8-14-181;2;2012-03-08 00:43:16 UTC;xvdap1;1.53;0.00;32.65;21.33;0.03;22.67;22.67;3.47
ip-10-8-14-181;2;2012-03-08 00:43:16 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:16 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:16 UTC;xvdd;51.02;408.16;1224.49;32.00;0.13;2.56;2.20;11.22
ip-10-8-14-181;2;2012-03-08 00:43:16 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:17 UTC;xvdap1;1.52;0.00;32.49;21.33;0.03;17.33;17.33;2.64
ip-10-8-14-181;2;2012-03-08 00:43:17 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:17 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:17 UTC;xvdd;50.76;406.09;1218.27;32.00;0.13;2.60;2.14;10.86
ip-10-8-14-181;2;2012-03-08 00:43:17 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:18 UTC;xvdap1;1.52;0.00;32.32;21.33;0.02;14.00;14.00;2.12
ip-10-8-14-181;2;2012-03-08 00:43:18 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:18 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:18 UTC;xvdd;50.51;404.04;1212.12;32.00;0.13;2.64;2.22;11.21
ip-10-8-14-181;2;2012-03-08 00:43:18 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:19 UTC;xvdap1;9.14;0.00;109.64;12.00;0.02;1.89;1.89;1.73
ip-10-8-14-181;2;2012-03-08 00:43:19 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:19 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:19 UTC;xvdd;51.78;406.09;1230.46;31.61;0.18;3.39;2.53;13.10
ip-10-8-14-181;2;2012-03-08 00:43:19 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:20 UTC;xvdap1;1.52;0.00;28.43;18.67;0.07;47.67;47.67;7.26
ip-10-8-14-181;2;2012-03-08 00:43:20 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:20 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:20 UTC;xvdd;50.76;406.09;1218.27;32.00;0.18;3.48;2.69;13.65
ip-10-8-14-181;2;2012-03-08 00:43:20 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:21 UTC;xvdap1;1.52;0.00;32.49;21.33;0.02;14.33;14.33;2.18
ip-10-8-14-181;2;2012-03-08 00:43:21 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:21 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:21 UTC;xvdd;50.76;406.09;1218.27;32.00;0.16;3.16;2.46;12.49
ip-10-8-14-181;2;2012-03-08 00:43:21 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:22 UTC;xvdap1;1.52;0.00;32.32;21.33;0.03;18.33;18.33;2.78
ip-10-8-14-181;2;2012-03-08 00:43:22 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:22 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:22 UTC;xvdd;50.51;404.04;1212.12;32.00;0.14;2.81;2.39;12.07
ip-10-8-14-181;2;2012-03-08 00:43:22 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:23 UTC;xvdap1;1.52;0.00;32.32;21.33;0.08;54.67;54.67;8.28
ip-10-8-14-181;2;2012-03-08 00:43:23 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:23 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:23 UTC;xvdd;50.51;404.04;1212.12;32.00;0.13;2.65;2.31;11.67
ip-10-8-14-181;2;2012-03-08 00:43:23 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:24 UTC;xvdap1;11.17;0.00;584.77;52.36;0.04;3.50;3.14;3.50
ip-10-8-14-181;2;2012-03-08 00:43:24 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:24 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:24 UTC;xvdd;51.78;406.09;1230.46;31.61;0.16;3.04;2.33;12.08
